"ts_code","name","open","close","high","low","pre_close","vol","trade_date"
"000001.SZ",平安银行,13.35,13.7,13.93,13.32,13.3,2081592.55,"20180102"
"000001.SZ",平安银行,13.73,13.33,13.86,13.2,13.7,2962498.38,"20180103"
"000001.SZ",平安银行,13.32,13.25,13.37,13.13,13.33,1854509.48,"20180104"
"000001.SZ",平安银行,13.21,13.3,13.35,13.15,13.25,1210312.72,"20180105"
"000001.SZ",平安银行,13.25,12.96,13.29,12.86,13.3,2158620.81,"20180108"
"000001.SZ",平安银行,12.96,13.08,13.2,12.92,12.96,1344345.09,"20180109"
"000001.SZ",平安银行,13.04,13.47,13.49,12.92,13.08,2403277.36,"20180110"
"000001.SZ",平安银行,13.41,13.4,13.59,13.27,13.47,1443877.81,"20180111"
"000001.SZ",平安银行,13.45,13.55,13.68,13.41,13.4,1353991.4,"20180112"
"000001.SZ",平安银行,13.51,14.2,14.33,13.5,13.55,3122394.48,"20180115"
"000001.SZ",平安银行,14.17,14.2,14.38,14.02,14.2,2444549,"20180116"
"000001.SZ",平安银行,14.33,14.23,14.8,14.2,14.2,2656294.01,"20180117"
"000001.SZ",平安银行,14.4,14.72,14.72,14.28,14.23,2148026.8,"20180118"
"000001.SZ",平安银行,14.8,14.8,15.13,14.68,14.72,2571146.69,"20180119"
"000001.SZ",平安银行,14.6,14.44,14.94,14.43,14.8,2073867.14,"20180122"
"000001.SZ",平安银行,14.36,14.65,14.9,14.33,14.44,2388791.7,"20180123"
"000001.SZ",平安银行,14.66,14.64,15.08,14.5,14.65,2591292.12,"20180124"
"000001.SZ",平安银行,14.45,14.2,14.47,14,14.64,2369984.59,"20180125"
"000001.SZ",平安银行,14.18,14.05,14.34,14.02,14.2,2032988.65,"20180126"
"000001.SZ",平安银行,14.05,13.74,14.25,13.6,14.05,2090546.68,"20180129"
"000001.SZ",平安银行,13.7,13.65,13.84,13.55,13.74,1094739.86,"20180130"
